ARM_CODART,ART_NOMBRE,Cod_Prod,Nom_Prod_DIGEMID,Concent_DIGEMID,Score
10756.0,ALBOTHYL OVULOS x 6,52199,ALBOTHYL,90 mg,0.69
13563.0,DEPO-MEDROL 40mg 1ml AMP,38134,DEPOMEDROL,40 mg/ mL,0.61
13670.0,DEPO-PROVERA 150mg 1ml AMP,48837,DEPO-PROVERA,150 mg/ mL,0.61
15470.0,PROVERA 5mg TAB x 30,48839,PROVERA,5 mg,0.62
25798.0,"BUSCAPINA COMP. ""N"" x 100 COMP",56858,BUSCAPINA COMPOSITUM,0.02 g/ 5 mL + 2.5 g/ 5 mL,0.68
30235.0,BACTRIM BALSAMICO JBE x 100ml,55228,BACTRIM BALSAMICO,800 mg/ 15 mL + 160 mg/ 15 mL + 250 mg/ 15 mL,0.74
30663.0,BACTRIM FORTE SUSP. FCO x 100ml,53047,BACTRIM FORTE,400 mg + 80 mg/ 5 mL,0.6
31349.0,BEPANTHENE CREMA 30g,49677,BEPANTHEN PLUS,5 % + 0.5 %,0.69
40777.0,MENTHOLATUM POTE x 30gr,57119,MENTHOLATUM NF,9 % + 1.35 % + 0.33 %,0.75
40884.0,MENTHOLATUM POTE x 85gr,57119,MENTHOLATUM NF,9 % + 1.35 % + 0.33 %,0.75
48298.0,ERITROMICINA 500mg TAB x 50 - GEN FAR,40156,ERITROMICINA,500 mg,0.61
51042.0,CLAVUMOX 250mg x 60ml SUSP,46849,CLAVUMOX® 600,600 mg + 42.9 mg/ 5 mL,0.68
51905.0,DIBROLAX GOTAS x 20ml,39543,DIBROLAX,5 mg,0.65
52805.0,MULTIMYCIN UNGUENTO 14g,48604,MULTIMYCIN,350 mg + 500 000 UI + 50 000 UI,0.71
64177.0,PARACETAMOL 500mg x 100 TAB - GEN FAR,60063,PARACETAMOL + CAFEÍNA,500 mg + 65 mg,0.7
66191.0,AERO OM GOTAS 15ml FRESA,39016,AERO OM SABOR A FRESAS,100 mg/ mL,0.7
67091.0,DICYNONE 2ml AMPOLLA,45444,DICYNONE® 250,250 mg/ 2 mL,0.62
67740.0,DOXIPROCT PLUS POMADA x 12GR,44154,DOXIPROCT PLUS,4 g + 2 g + 0.025 g,0.67
69112.0,TRI-AERO-OM CAP x 100,52911,TROMVAX 10,10 mg,0.62
74184.0,PYRIDIUM 100mg x 100 GRAGEAS,60065,PYRIDIUM - X FORTE,200 mg,0.69
76419.0,DENCORUB EXTRA FORTE x 100GR,38962,DENCORUB EXTRA FORTE,29 g/ 100 g + 7.6 g/ 100 g,0.93
80163.0,LIDOCAINA 2% S/EP AMP x 20ml - LUSA,48316,LIDOCAINA 2% CON EPINEFRINA 1:200 000 S/P,2 %,0.65
88333.0,BACTEROL FORTE SUS x 50ml,39572,BACTEROL FORTE,800 mg + 160 mg,0.82
88440.0,BACTEROL INFANTIL SUSP. 60ml,49186,BACTEROL INFANTIL,200 mg + 40 mg/ 5 mL,0.87
88868.0,DEQUAZOL-R OVULOS x 60 UNID.,35124,DEQUAZOL ORAL 500,500 mg,0.7
99561.0,MERTHIOLATE PLUS INCOLORO 60ml,51254,MERTHIOLATE PLUS® INCOLORO,0.10 %,1.01
99668.0,MERTHIOLATE PLUS TINTURA 60ml,51254,MERTHIOLATE PLUS® INCOLORO,0.10 %,0.84
100114.0,AB BRONCOL NF 1200 INYECTABLE,48938,AB BRONCOL NF 1200,1000 mg + 200 mg,0.87
100221.0,AB BRONCOL NF 300 INYECTABLE,48889,AB BRONCOL NF 300,250 mg + 50 mg,0.86
100328.0,AB BRONCOL NF 600 INYECTABLE,48917,AB BRONCOL NF 600,600 mg,0.86
108598.0,CIPROLIN 500mg TAB x 10,38205,CIPROLIP 500,500 mg,0.63
110977.0,FRAMYCORT GOTAS 2.5ML,51357,FRAMYCORT,(10 mg + 1 mg)/ mL,0.72
113142.0,VELAMOX 500mg x 100 CAP,54507,VELAMOX 500,500 mg/ 5 mL,0.65
113784.0,MEJORAL TAB x 200,54983,META XR 500,500 mg,0.64
116270.0,PANADOL MASTICABLE TAB x 100,54313,PANADOL ANTIGRIPAL NF,500 mg + 5 mg + 2 mg,0.67
116377.0,PANADOL GOTAS 15ml,56317,PANADOL NIÑOS,160 mg/ 5 mL,0.77
146619.0,DICLOFENACO 75mg x 5 AMP - GEN FAR,38550,DICLOFENACO,1 %,0.61
159433.0,DEXTRO TOSS JBE x 120ml,44796,DEXTRO TOSS,15 mg/ 5 mL,0.65
169333.0,QUADRIDERM EXTRA SP CREMA x 10g,39320,QUADRIDERM EXTRA SP,,0.76
173184.0,DOLOCORDRALAN EXTRA FORTE x 10 TAB,50912,DOLOCORDRALAN EXTRA FORTE,500 mg + 50 mg,0.85
174412.0,NEUROBION x 100 GRAGEAS,52456,NEUROBION 1000,,0.7
177219.0,CICLOSTERONA FUERTE 50mg x 1ml AMP,40592,CICLOSTERONA FUERTE®,50 mg/ mL,0.82
187333.0,CODIPRONT x 10 CAP,55798,CODIPRONT F,11.11 mg + 3.67 mg/ 5 mL,0.79
187440.0,CODIPRONT x 60ml JBE,55798,CODIPRONT F,11.11 mg + 3.67 mg/ 5 mL,0.75
187547.0,CODIPRONT EXPECT. x 10 CAP,49399,CODIPRONT EXPECTORANTE,11.11 mg + 3.67 mg + 55.55 mg/ 5 mL,0.82
188768.0,GINGISONA TOQUES x 30ml,41772,GINGISONA B,3 mg,0.69
189775.0,MEGACILINA 1´000 000 x 1 AMP,39911,MEGACILINA ORAL,1 000 000 UI,0.67
189882.0,MEGACILINA FORTE 4000 AMP,39911,MEGACILINA ORAL,1 000 000 UI,0.8
190070.0,MEGACILINA ORAL COMP x 120,39911,MEGACILINA ORAL,1 000 000 UI,0.83
194212.0,ALERGICAL SF x 100 TAB,26169,ALERGICAL SF,,0.81
194319.0,ALERGICAL SF GOTAS 15ml,26169,ALERGICAL SF,,0.79
194533.0,AZO CEFASABAL 100mg x 100 TAB,60064,AZO CEFASABAL 100,100 mg,0.84
