TOP,SCORE,ARM_CODART,ART_NOMBRE,PRINCIPIO_ACTIVO,FRACCION_MEDINA,COD_PROD_DIGEMID,NOMBRE_DIGEMID,CONCENT_DIGEMID,IFA_DIGEMID,FRACCION_DIGEMID
1,0.9015,14570.0,LINCOCIN 600mg x 2ml AMP,LINCOMICINA - AMPOLLA,1.0,42744,LINCOCIN,600 mg/ 2 mL,LINCOMICINA CLORHIDRATO,1
2,0.8182,14570.0,LINCOCIN 600mg x 2ml AMP,LINCOMICINA - AMPOLLA,1.0,48840,LINCOCIN,500 mg,LINCOMICINA CLORHIDRATO,96
1,0.8655,15470.0,PROVERA 5mg TAB x 30,<NINGUNO>,30.0,48839,PROVERA,5 mg,MEDROXIPROGESTERONA ACETATO,30
1,0.8643,19826.0,FERANIN GOTAS 25mg x 20ml,HIERRO POLIMALTOSADO,1.0,56056,FERANIN,100 mg/ 5 mL,HIERRO (III) POLIMALTOSA,1
2,0.8643,19826.0,FERANIN GOTAS 25mg x 20ml,HIERRO POLIMALTOSADO,1.0,58870,FERANIN,100 mg/ 5 mL,HIERRO (III) POLIMALTOSA,1
3,0.8567,19826.0,FERANIN GOTAS 25mg x 20ml,HIERRO POLIMALTOSADO,1.0,54496,FERANIN,100 mg,COMPLEJO DE HIDROXIDO FERRICO [HIERRO (III)] POLIMALTOSADO,30
1,1.0818,45170.0,IBUPROFENO 400mg TAB x 100 - GENFAR,IBUPROFENO 400MG.TABLETA,100.0,37877,IBUPROFENO,400 mg,IBUPROFENO,100
2,1.0818,45170.0,IBUPROFENO 400mg TAB x 100 - GENFAR,IBUPROFENO 400MG.TABLETA,100.0,42422,IBUPROFENO,400 mg,IBUPROFENO,100
3,1.0818,45170.0,IBUPROFENO 400mg TAB x 100 - GENFAR,IBUPROFENO 400MG.TABLETA,100.0,58697,IBUPROFENO,400 mg,IBUPROFENO,100
1,0.9778,45491.0,METOCLOPRAMIDA 10mg TAB x 100 - IQFARMA,METOCLOPRAMIDA TABLETA,100.0,38960,METOCLOPRAMIDA,10 mg,METOCLOPRAMIDA,100
2,0.9465,45491.0,METOCLOPRAMIDA 10mg TAB x 100 - IQFARMA,METOCLOPRAMIDA TABLETA,100.0,33702,METOCLOPRAMIDA,10 mg,METOCLOPRAMIDA CLORHIDRATO MONOHIDRATO,100
3,0.9465,45491.0,METOCLOPRAMIDA 10mg TAB x 100 - IQFARMA,METOCLOPRAMIDA TABLETA,100.0,58361,METOCLOPRAMIDA,10 mg,METOCLOPRAMIDA CLORHIDRATO MONOHIDRATO,100
1,1.0167,45605.0,METRONIDAZOL 250mg SUSP x 120ml - GEN FAR,METRONIDAZOL JBE,1.0,38396,METRONIDAZOL,500 mg/ 100 mL,METRONIDAZOL,1
2,0.9734,45605.0,METRONIDAZOL 250mg SUSP x 120ml - GEN FAR,METRONIDAZOL JBE,1.0,45015,METRONIDAZOL,125 mg/ 5 mL,METRONIDAZOL BENZOATO,1
3,0.9441,45605.0,METRONIDAZOL 250mg SUSP x 120ml - GEN FAR,METRONIDAZOL JBE,1.0,7455,METRONIDAZOL,500 mg,METRONIDAZOL,100
1,0.9902,47619.0,CEFALEXINA 500mg x 10 CAP - GEN FAR,CEFALEXINA TABLETA,10.0,37770,CEFALEXINA,500 mg,CEFALEXINA MONOHIDRATO,100
2,0.9083,47619.0,CEFALEXINA 500mg x 10 CAP - GEN FAR,CEFALEXINA TABLETA,10.0,37135,CEFALEXINA,250 mg/ 5 mL,CEFALEXINA MONOHIDRATO,1
3,0.9083,47619.0,CEFALEXINA 500mg x 10 CAP - GEN FAR,CEFALEXINA TABLETA,10.0,58703,CEFALEXINA,250 mg/ 5 mL,CEFALEXINA MONOHIDRATO,1
1,0.8333,51042.0,CLAVUMOX 250mg x 60ml SUSP,<NINGUNO>,1.0,41670,CLAVUMOX,250 mg + 62.5 mg/ 5 mL,AMOXICILINA TRIHIDRATO + CLAVULANATO POTASICO,1
2,0.8032,51042.0,CLAVUMOX 250mg x 60ml SUSP,<NINGUNO>,1.0,54868,CLAVUMOX,500 mg + 125 mg,ACIDO CLAVULANICO + AMOXICILINA TRIHIDRATO,1
3,0.8,51042.0,CLAVUMOX 250mg x 60ml SUSP,<NINGUNO>,1.0,45169,CLAVUMOX ®,400 mg/ 57 mg/ 5 mL,AMOXICILINA TRIHIDRATO + CLAVULANATO POTASICO,1
1,0.8056,51905.0,DIBROLAX GOTAS x 20ml,<NINGUNO>,1.0,39545,DIBROLAX,10 mg/ mL,PICOSULFATO DE SODIO,1
1,1.025,57305.0,AMIKACINA 500mg x 10 AMP - VITALIS,AMIKACINA AMPOLLA,10.0,50875,AMIKACINA,500 mg/ 2 mL,AMIKACINA,10
2,0.925,57305.0,AMIKACINA 500mg x 10 AMP - VITALIS,AMIKACINA AMPOLLA,10.0,58882,AMIKACINA,500 mg/ 2 mL,AMIKACINA,10
3,0.8795,57305.0,AMIKACINA 500mg x 10 AMP - VITALIS,AMIKACINA AMPOLLA,10.0,34437,AMIKACINA,500 mg/ 2 mL,AMIKACINA SULFATO,10
1,0.8865,60256.0,LINCOMICINA 600mg x 10 AMP - VITALIS,LINCOMICINA - AMPOLLA,10.0,50455,LINCOMICINA,600 mg/ 2 mL,LINCOMICINA CLORHIDRATO,10
2,0.8865,60256.0,LINCOMICINA 600mg x 10 AMP - VITALIS,LINCOMICINA - AMPOLLA,10.0,53788,LINCOMICINA,600 mg/ 2 mL,LINCOMICINA CLORHIDRATO,10
3,0.8865,60256.0,LINCOMICINA 600mg x 10 AMP - VITALIS,LINCOMICINA - AMPOLLA,10.0,56886,LINCOMICINA,600 mg/ 2 mL,LINCOMICINA CLORHIDRATO,10
1,0.8759,60898.0,PIROXICAM 20mg TAB x 100 - INDUQUIMICA,PIROXICAN 20MG.TABLETA,100.0,41558,PIROXICAM,20 mg,PIROXICAM,100
2,0.8759,60898.0,PIROXICAM 20mg TAB x 100 - INDUQUIMICA,PIROXICAN 20MG.TABLETA,100.0,45232,PIROXICAM,20 mg,PIROXICAM,100
1,0.9865,63712.0,LINCOMICINA 600mg x 6 AMP - GEN FAR,LINCOMICINA - AMPOLLA,6.0,38376,LINCOMICINA,600 mg/ 2 mL,LINCOMICINA CLORHIDRATO,6
2,0.9865,63712.0,LINCOMICINA 600mg x 6 AMP - GEN FAR,LINCOMICINA - AMPOLLA,6.0,59190,LINCOMICINA,600 mg/ 2 mL,LINCOMICINA CLORHIDRATO,6
3,0.8865,63712.0,LINCOMICINA 600mg x 6 AMP - GEN FAR,LINCOMICINA - AMPOLLA,6.0,45367,LINCOMICINA,600 mg/ 2 mL,LINCOMICINA CLORHIDRATO,6
1,0.9455,63926.0,NAPROXENO 550mg CAP x 100 - LABOGEN,NAPROXENO - TABLETA,100.0,40343,NAPROXENO,500 mg,NAPROXENO,100
2,0.9455,63926.0,NAPROXENO 550mg CAP x 100 - LABOGEN,NAPROXENO - TABLETA,100.0,52551,NAPROXENO,500 mg,NAPROXENO,100
3,0.9455,63926.0,NAPROXENO 550mg CAP x 100 - LABOGEN,NAPROXENO - TABLETA,100.0,54153,NAPROXENO,500 mg,NAPROXENO,100
1,1.0818,64177.0,PARACETAMOL 500mg x 100 TAB - GEN FAR,PARACETAMOL 500MG.TABLETAS,100.0,40172,PARACETAMOL,500 mg,PARACETAMOL,100
2,1.0818,64177.0,PARACETAMOL 500mg x 100 TAB - GEN FAR,PARACETAMOL 500MG.TABLETAS,100.0,42111,PARACETAMOL,500 mg,PARACETAMOL,100
3,1.0818,64177.0,PARACETAMOL 500mg x 100 TAB - GEN FAR,PARACETAMOL 500MG.TABLETAS,100.0,58667,PARACETAMOL,500 mg,PARACETAMOL,100
1,1.0818,72926.0,LOPID 600mg TAB x 20,GEMFIBROZILO - TABLETA,20.0,35872,LOPID,600 mg,GEMFIBROZILO,20
2,0.9955,72926.0,LOPID 600mg TAB x 20,GEMFIBROZILO - TABLETA,20.0,35863,LOPID,900 mg,GEMFIBROZILO,30
1,0.8288,74184.0,PYRIDIUM 100mg x 100 GRAGEAS,<NINGUNO>,100.0,44744,PYRIDIUM,100 mg,FENAZOPIRIDINA CLORHIDRATO,100
2,0.8288,74184.0,PYRIDIUM 100mg x 100 GRAGEAS,<NINGUNO>,100.0,61812,PYRIDIUM,100 mg,FENAZOPIRIDINA CLORHIDRATO,100
1,1.0045,80163.0,LIDOCAINA 2% S/EP AMP x 20ml - LUSA,LIDOCAINA AMPOLLA,1.0,37844,LIDOCAINA,2 %,LIDOCAINA CLORHIDRATO,25
2,0.9545,80163.0,LIDOCAINA 2% S/EP AMP x 20ml - LUSA,LIDOCAINA AMPOLLA,1.0,29584,LIDOCAINA,2 %,LIDOCAINA CLORHIDRATO,1
3,0.9545,80163.0,LIDOCAINA 2% S/EP AMP x 20ml - LUSA,LIDOCAINA AMPOLLA,1.0,56628,LIDOCAINA,2 %,LIDOCAINA CLORHIDRATO,1
1,1.0667,88012.0,ALPAZ 0.50mg TAB x 100,ALPRAZOLAM 0.5MG - TAB,100.0,41001,ALPAZ,0.5 mg,ALPRAZOLAM,100
1,0.8307,88333.0,BACTEROL FORTE SUS x 50ml,SULF.+ TRIM 400/80MG. JARABE,1.0,40380,BACTEROL FORTE,400 mg + 80 mg/ 5 mL,SULFAMETOXAZOL + TRIMETOPRIMA,1
1,0.8643,88868.0,DEQUAZOL-R OVULOS x 60 UNID.,METRONIDAZOL - TABLETA,60.0,48603,DEQUAZOL R,500 mg + 100 000 UI + 7 mg,LIDOCAINA CLORHIDRATO + METRONIDAZOL + NISTATINA,60
2,0.8143,88868.0,DEQUAZOL-R OVULOS x 60 UNID.,METRONIDAZOL - TABLETA,60.0,49002,DEQUAZOL R,500 mg + 100 000 UI + 7 mg,LIDOCAINA CLORHIDRATO + METRONIDAZOL + NISTATINA,8
3,0.8143,88868.0,DEQUAZOL-R OVULOS x 60 UNID.,METRONIDAZOL - TABLETA,60.0,49320,DEQUAZOL R,500 mg + 100 000 UI + 7 mg,LIDOCAINA CLORHIDRATO + METRONIDAZOL + NISTATINA,100
1,0.8241,90063.0,TOPICREM CREMA x 10G - HERSIL,CLOTRI+DEXA+GENTA,1.0,50914,TOPICREM,0.05 g + 0.1 g + 1 g,BETAMETASONA DIPROPIONATO + CLOTRIMAZOL + GENTAMICINA SULFATO,1
2,0.8241,90063.0,TOPICREM CREMA x 10G - HERSIL,CLOTRI+DEXA+GENTA,1.0,61733,TOPICREM,0.05 g + 0.1 g + 1 g,BETAMETASONA DIPROPIONATO + CLOTRIMAZOL + GENTAMICINA SULFATO,1
1,0.8583,100114.0,AB BRONCOL NF 1200 INYECTABLE,AMPICILINA AMPOLLA,1.0,48938,AB BRONCOL NF 1200,1000 mg + 200 mg,AMPICILINA BENZATINICA + AMPICILINA SODICA + LIDOCAINA CLORHIDRATO,1
2,0.8583,100114.0,AB BRONCOL NF 1200 INYECTABLE,AMPICILINA AMPOLLA,1.0,57689,AB-BRONCOL NF 1200,1200 mg,AMPICILINA BENZATINICA + AMPICILINA SODICA,1
1,0.8583,100221.0,AB BRONCOL NF 300 INYECTABLE,AMPICILINA AMPOLLA,1.0,48889,AB BRONCOL NF 300,250 mg + 50 mg,AMPICILINA BENZATINICA + AMPICILINA SODICA + GOMENOL + LIDOCAINA CLORHIDRATO,1
1,0.8583,100328.0,AB BRONCOL NF 600 INYECTABLE,AMPICILINA AMPOLLA,1.0,52485,AB BRONCOL NF 600,600 mg,AMPICILINA BENZATINICA + AMPICILINA SODICA + LIDOCAINA CLORHIDRATO,1
2,0.8083,100328.0,AB BRONCOL NF 600 INYECTABLE,AMPICILINA AMPOLLA,1.0,48917,AB BRONCOL NF 600,600 mg,AMPICILINA BENZATINICA + AMPICILINA SODICA + LIDOCAINA CLORHIDRATO,2
1,0.8013,106912.0,ATIDEM 20mg x 10 CAP,<NINGUNO>,10.0,58879,ATIDEM,400 mg,CELECOXIB,10
1,0.9032,108598.0,CIPROLIN 500mg TAB x 10,<NINGUNO>,10.0,46596,CIPROLIN,500 mg,CIPROFLOXACINO,10
2,0.9032,108598.0,CIPROLIN 500mg TAB x 10,<NINGUNO>,10.0,61563,CIPROLIN,500 mg,CIPROFLOXACINO,10
1,0.8695,109498.0,CORIFAN 2mg/5mg x 120 ml JBE,<NINGUNO>,1.0,58411,CORIFAN,10 mg/ mL,CLORFENAMINA MALEATO,1
2,0.8632,109498.0,CORIFAN 2mg/5mg x 120 ml JBE,<NINGUNO>,1.0,46843,CORIFAN,2 mg/ 5 mL,CLORFENAMINA MALEATO,1
3,0.8632,109498.0,CORIFAN 2mg/5mg x 120 ml JBE,<NINGUNO>,1.0,60293,CORIFAN,2 mg/ 5 mL,CLORFENAMINA MALEATO,1
1,0.8314,111342.0,NOTIL x 10gr CREMA,CLOTRI+DEXA+GENTA,1.0,58798,NOTIL,1 g + 0.10 g + 0.05 g,BETAMETASONA DIPROPIONATO + CLOTRIMAZOL + GENTAMICINA SULFATO,1
2,0.8314,111342.0,NOTIL x 10gr CREMA,CLOTRI+DEXA+GENTA,1.0,61632,NOTIL,1 g + 0.10 g + 0.05 g,BETAMETASONA DIPROPIONATO + CLOTRIMAZOL + GENTAMICINA SULFATO,1
3,0.818,111342.0,NOTIL x 10gr CREMA,CLOTRI+DEXA+GENTA,1.0,49913,NOTIL,1.00 g + 0.10 g + 0.05 g,BETAMETASONA DIPROPIONATO + CLOTRIMAZOL + GENTAMICINA SULFATO,1
1,1.0818,116163.0,PANADOL ADULTOS 500mg TAB x 52 SOBX2,PARACETAMOL 500MG.TABLETAS,52.0,54413,PANADOL,500 mg,PARACETAMOL,52
2,1.0318,116163.0,PANADOL ADULTOS 500mg TAB x 52 SOBX2,PARACETAMOL 500MG.TABLETAS,52.0,57193,PANADOL,500 mg,PARACETAMOL,8
3,0.9818,116163.0,PANADOL ADULTOS 500mg TAB x 52 SOBX2,PARACETAMOL 500MG.TABLETAS,52.0,53764,PANADOL,500 mg,PARACETAMOL,52
1,0.9,116270.0,PANADOL MASTICABLE TAB x 100,PARACETAMOL 500MG.TABLETAS,100.0,56314,PANADOL,80 mg,PARACETAMOL,100
2,0.85,116270.0,PANADOL MASTICABLE TAB x 100,PARACETAMOL 500MG.TABLETAS,100.0,54413,PANADOL,500 mg,PARACETAMOL,52
3,0.85,116270.0,PANADOL MASTICABLE TAB x 100,PARACETAMOL 500MG.TABLETAS,100.0,55728,PANADOL,100 mg/ mL,PARACETAMOL,1
1,0.9923,116377.0,PANADOL GOTAS 15ml,PARACETAMOL GOTAS,1.0,55728,PANADOL,100 mg/ mL,PARACETAMOL,1
2,0.93,116377.0,PANADOL GOTAS 15ml,PARACETAMOL GOTAS,1.0,54413,PANADOL,500 mg,PARACETAMOL,52
3,0.93,116377.0,PANADOL GOTAS 15ml,PARACETAMOL GOTAS,1.0,57193,PANADOL,500 mg,PARACETAMOL,8
1,0.9818,144598.0,ALBENDAZOL 200mg x 100 TAB - IQFARMA,ALBENDAZOL - TABLETA,100.0,34157,ALBENDAZOL,200 mg,ALBENDAZOL,100
2,0.9818,144598.0,ALBENDAZOL 200mg x 100 TAB - IQFARMA,ALBENDAZOL - TABLETA,100.0,38359,ALBENDAZOL,200 mg,ALBENDAZOL,100
3,0.9818,144598.0,ALBENDAZOL 200mg x 100 TAB - IQFARMA,ALBENDAZOL - TABLETA,100.0,56625,ALBENDAZOL,200 mg,ALBENDAZOL,100
1,1.0524,144605.0,ALBENDAZOL 100mg x 20ml SUSP - GENFAR,ALBENDAZOL JARABE,1.0,56415,ALBENDAZOL,100 mg/ 5 mL,ALBENDAZOL,1
2,1.0524,144605.0,ALBENDAZOL 100mg x 20ml SUSP - GENFAR,ALBENDAZOL JARABE,1.0,60317,ALBENDAZOL,100 mg/ 5 mL,ALBENDAZOL,1
3,0.9524,144605.0,ALBENDAZOL 100mg x 20ml SUSP - GENFAR,ALBENDAZOL JARABE,1.0,41544,ALBENDAZOL,100 mg/ 5 mL,ALBENDAZOL,1
1,1.0393,146512.0,DICLOFENACO 50mg x 30 TAB - GEN FAR,DICLOFENACO - TABLETA,30.0,40161,DICLOFENACO,50 mg,DICLOFENACO SODICO,30
2,1.0393,146512.0,DICLOFENACO 50mg x 30 TAB - GEN FAR,DICLOFENACO - TABLETA,30.0,58699,DICLOFENACO,50 mg,DICLOFENACO SODICO,30
3,0.9393,146512.0,DICLOFENACO 50mg x 30 TAB - GEN FAR,DICLOFENACO - TABLETA,30.0,45482,DICLOFENACO,50 mg,DICLOFENACO SODICO,30
1,0.9449,146619.0,DICLOFENACO 75mg x 5 AMP - GEN FAR,DICLOFENACO - AMPOLLA,5.0,40161,DICLOFENACO,50 mg,DICLOFENACO SODICO,30
2,0.9449,146619.0,DICLOFENACO 75mg x 5 AMP - GEN FAR,DICLOFENACO - AMPOLLA,5.0,58699,DICLOFENACO,50 mg,DICLOFENACO SODICO,30
3,0.9258,146619.0,DICLOFENACO 75mg x 5 AMP - GEN FAR,DICLOFENACO - AMPOLLA,5.0,52739,DICLOFENACO,75 mg/ 3 mL,DICLOFENACO SODICO,10
1,1.0778,148091.0,LORATADINA 10mg x 100 TAB - FARMINDUSTRIA,LORATADINA TABLETA,100.0,43372,LORATADINA,10 mg,LORATADINA,100
2,1.0278,148091.0,LORATADINA 10mg x 100 TAB - FARMINDUSTRIA,LORATADINA TABLETA,100.0,43536,LORATADINA,10 mg,LORATADINA,10
3,0.9778,148091.0,LORATADINA 10mg x 100 TAB - FARMINDUSTRIA,LORATADINA TABLETA,100.0,38774,LORATADINA,10 mg,LORATADINA,100
